Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
Family DLR Stores,COM,307000109,783,40000,SH,,Other,0,0,40000,03,2000-03-31
Foundry Networks,COM,35063R100,1040,9416,SH,,Other,9416,0,0,02,2000-03-31
Fed Rlty. Invt. TR,BEN,313747206,1300,65000,SH,,Other,0,0,65000,04,2000-03-31
Fusion Med Techn,COM,361128101,429,26900,SH,,Other,26900,0,0,02,2000-03-31
G & K SVCS CL A,COM,361268105,937,37400,SH,,Other,0,0,37400,03,2000-03-31
Gen Growth PPTYS,COM,370021107,1518,47800,SH,,Other,0,0,47800,04,2000-03-31
Genzyme Corp,COM,372917104,267,4500,SH,,Sole,4500,0,0,,2000-03-31
Cenzyme Corp Tissue COM 372917401 59,,,,11180,SH,,Sole,11180,0,0,,2000-03-31
Great Lakes Chem,COM,390568103,441,14000,SH,,Other,0,0,14000,03,2000-03-31
Gulf Canada Resource,COM,40218L305,4813,1000000,SH,,Sole,1000000,0,0,,2000-03-31
Haemonetics Corp MA,COM,405024100,399,19000,SH,,Other,0,0,19000,03,2000-03-31
Healtheon Corp,COM,422209106,518,35000,SH,,Other,35000,0,0,02,2000-03-31
IL Superconductor COM 452284102 80,,,,16784,SH,,Other,16784,0,0,02,2000-03-31
Inktomi Copr,COM,457277101,2365,20000,SH,,Other,20000,0,0,02,2000-03-31
Interact Comm,COM,45839Y107,337,28570,SH,,Other,28570,0,0,02,2000-03-31
Internet Pictures,COM,46059S101,164,10820,SH,,Other,10820,0,0,02,2000-03-31
Interwoven Inc.,COM,46114T102,6385,58056,SH,,Other,58056,0,0,02,2000-03-31
Kforce Com Inc.,COM,493732101,291,42000,SH,,Other,0,0,42000,03,2000-03-31
Kilroy Rlty Corp,COM,49427F108,2062,79500,SH,,Other,0,0,79500,04,2000-03-31
Kimco Rlty Corp,COM,49446R109,2276,55500,SH,,Other,0,0,55500,04,2000-03-31
Lab Corp Amer Hldgs,PFD,50540R201,403,2875,SH,,Other,0,0,2875,01,2000-03-31
Liberty PPTY TR,BEN,531172104,3190,123000,SH,,Other,0,0,123000,04,2000-03-31
Little Switz Inc COM 537528101 7,,,,16000,SH,,Sole,16000,0,0,,2000-03-31
MGIC Invt Corp Wis,COM,552848103,455,10000,SH,,Other,0,0,10000,03,2000-03-31
Microcel Telec CL B,COM,59501T304,550,15235,SH,,Other,0,0,15235,01,2000-03-31
Minerals Tech,COM,603158106,598,13000,SH,,Other,0,0,13000,03,2000-03-31
Modis Prof SVCS,COM,607830106,469,52800,SH,,Other,0,0,52800,03,2000-03-31
Morrison MGMT SPEC,COM,618459101,651,23100,SH,,Other,0,0,23100,03,2000-03-31
"Nabors Ind, Inc",COM,629568106,291,6999,SH,,Other,0,0,6999,01,2000-03-31
Nanophase Technolog,COM,630079101,3559,341000,SH,,Other,341000,0,0,02,2000-03-31
Netzero Inc,COM,64122R109,1342,257143,SH,,Other,257143,0,0,02,2000-03-31
Nextera Enterpr A,COM,65332E101,1781,372456,SH,,Sole,372456,0,0,,2000-03-31
Nova Corp,COM,669784100,726,26000,SH,,Other,0,0,26000,03,2000-03-31
Old Rep Intl Corp,COM,680223104,611,37000,SH,,Other,0,0,37000,03,2000-03-31
Onyx Software,COM,683402101,2368,79754,SH,,Other,79754,0,0,02,2000-03-31
Paxar Corp,COM,704227107,597,50000,SH,,Other,0,0,50000,03,2000-03-31
Phone.com Inc.,COM,71920Q100,1524,23403,SH,,Other,23403,0,0,02,2000-03-31
Pioneer Std Electr,COM,723877106,295,20000,SH,,Other,0,0,20000,03,2000-03-31
PMC Sierra,COM,69344F106,3198,18000,SH,,Other,18000,0,0,02,2000-03-31
Powertel Inc,COM,73936C109,312,4395,SH,,Other,0,0,4395,01,2000-03-31
Prologies BEN 743410102 4004 187900 SH,Other,,,03,,,,0,0,187900,04,2000-03-31
Prologies,BEN,743410102,341,16000,SH,,Sole,16000,0,0,,2000-03-31
Radiance Medical SY,COM,750241101,221,26000,SH,,Sole,26000,0,0,,2000-03-31
Reckson Assocs Rlty,COM,75621K106,1629,68600,SH,,Other,0,0,68600,04,2000-03-31
Redback Networks,COM,757209101,1780,10000,SH,,Other,10000,0,0,02,2000-03-31
Regal Beloit Corp,COM,758750103,295,18500,SH,,Other,0,0,18500,03,2000-03-31
Regency Rlty Corp,COM,758939102,228,9600,SH,,Sole,9600,0,0,,2000-03-31
Renal Care Group,COM,759930100,230,9400,SH,,Other,0,0,9400,03,2000-03-31
Republic SVCS,COM,760759100,1248,78000,SH,,Other,0,0,78000,03,2000-03-31
RSA Sec Inc,COM,749719100,889,12838,SH,,Other,12838,0,0,02,2000-03-31
Sec Cap Group B COM 81413P204 2060 121200 SH,Other,,,03,,,,0,0,121200,04,2000-03-31
Security Cap Group B,COM,81413P204,119,7000,SH,,Sole,7000,0,0,,2000-03-31
Sigma - Aldrich,COM,826552101,497,17000,SH,,Other,0,0,17000,03,2000-03-31
Skyepharma PLC,ADR,830808101,482,35696,SH,,Other,35696,0,0,02,2000-03-31
Speizman INDS Inc COM 847805108 77,,,,24000,SH,,Sole,24000,0,0,,2000-03-31
Spieker PPTYS Inc,COM,848497103,2155,45600,SH,,Other,0,0,45600,04,2000-03-31
Stamps Com Inc,COM,852857101,388,53015,SH,,Other,53015,0,0,02,2000-03-31
Sun Communities,COM,866674104,3110,93000,SH,,Other,0,0,93000,04,2000-03-31
Sungard Data Sys,COM,867363103,1085,35000,SH,,Other,0,0,35000,03,2000-03-31
Sybron Int'l Group,COM,87114F106,693,35000,SH,,Other,0,0,35000,03,2000-03-31
Thermo Fibergen Inc,COM,88355U109,236,19300,SH,,Sole,19300,0,0,,2000-03-31
Thermo Fibergen Inc RTS 88355U107 12,,,,19300,SH,,Sole,19300,0,0,,2000-03-31
Urban Shopp CTRS,COM,917060105,1674,49700,SH,,Other,0,0,49700,04,2000-03-31
US Internetworking,COM,917311805,383,18756,SH,,Sole,18756,0,0,,2000-03-31
VA Linux Sys,COM,91819B105,2255,52442,SH,,Other,52442,0,0,02,2000-03-31
Versus Tech Inc COM 952313108 21,,,,60000,SH,,Sole,60000,0,0,,2000-03-31
Vigennette Corp,COM,926734104,1070,20571,SH,,Other,20571,0,0,02,2000-03-31
Vulcan Materials,COM,929160109,327,7656,SH,,Sole,7656,0,0,,2000-03-31
Wausau-Mosinee,COM,943315101,154,18000,SH,,Other,0,0,18000,03,2000-03-31
"Active Software, Inc.",COM,00504E100,1373,17679,SH,,Other,17679,0,0,02,1999-12-31
Axicom Corp,COM,005125109,436,16000,SH,,Other,0,0,16000,03,1999-12-31
Adelphi Com CL A,COM,006848105,234,5000,SH,,Other,0,0,5000,03,1999-12-31
Agile Software Corp,COM,00846X105,476,6731,SH,,Other,6731,0,0,02,1999-12-31
AMB PPTY Corp,COM,00163T109,2110,92500,SH,,Other,0,0,92500,04,1999-12-31
Applied Micro Cir,COM,03822W109,2963,30000,SH,,Other,30000,0,0,02,1999-12-31
Aptar Group Inc,COM,038336103,886,32800,SH,,Other,0,0,32800,03,1999-12-31
Archstone CMNTYS BEN 039581103 3392 161061 SH Sole,,,,,,,Other,15061,0,146000,04,1999-12-31
Argosy Gaming Co.,COM,040228108,173,11950,SH,,Other,0,0,11950,01,1999-12-31
"Ariba, Inc",COM,04033V104,7802,79572,SH,,Other,79572,0,0,02,1999-12-31
Arrow Electronic,COM,042735100,558,18000,SH,,Other,0,0,18000,03,1999-12-31
Avalonbay CMTYS,COM,053484101,3252,77900,SH,,Other,0,0,77900,04,1999-12-31
Avanex Corp,COM,05348W109,1288,13483,SH,,Other,13483,0,0,02,1999-12-31
BEA Sys Inc.,COM,073325102,1483,30000,SH,,Other,30000,0,0,02,1999-12-31
Bell & Howell,COM,077852101,388,16000,SH,,Other,0,0,16000,03,1999-12-31
Block H & R,COM,093671105,502,15500,SH,,Other,0,0,15500,03,1999-12-31
Brady Corp CL A,COM,104674106,478,14700,SH,,Other,0,0,14700,03,1999-12-31
Broadbase Software,COM,11130R100,609,19872,SH,,Other,19872,0,0,02,1999-12-31
Broadcom Software,COM,111320107,2134,9746,SH,,Other,9746,0,0,02,1999-12-31
Brocade Comm Sys,COM,111621108,7767,42332,SH,,Other,42332,0,0,02,1999-12-31
Boston PPTYS Inc.,COM,101121101,2310,59800,SH,,Other,0,0,59800,04,1999-12-31
C-Cube Microsys,COM,12501N108,361,18377,SH,,Other,18377,0,0,02,1999-12-31
CacheFlow Inc.,COM,126946102,1385,22500,SH,,Other,22500,0,0,02,1999-12-31
Caliper Tech,COM,130876105,790,17165,SH,,Other,17165,0,0,02,1999-12-31
Cambrex Corp,COM,132011107,990,22000,SH,,Other,0,0,22000,02,1999-12-31
Carramerica Rlty.,COM,144418100,199,7500,SH,,Sole,7500,0,0,,1999-12-31
Casella Waste Sys,COM,147448104,645,60000,SH,,Other,0,0,60000,03,1999-12-31
Caseys Gen Stores,COM,147528103,830,80000,SH,,Other,0,0,80000,03,1999-12-31
Checkfree Hldgs,COM,162816102,2039,39548,SH,,Other,39548,0,0,02,1999-12-31
Checkpoint Systems COM 162825103 75,,,,10000,SH,,Sole,10000,0,0,,1999-12-31
Ches Energy,COM,165167107,546,70500,SH,,Other,0,0,70500,01,1999-12-31
Clearnet Com CL A,COM,184902104,273,9820,SH,,Other,0,0,9820,01,1999-12-31
CNET Networks Inc.,COM,12613R104,200,8154,SH,,Other,8154,0,0,02,1999-12-31
Commerce One,COM,200693109,1816,40000,SH,,Other,40000,0,0,02,1999-12-31
Completel Europe NV,COM,N21590109,154,12800,SH,,Other,0,0,12800,03,1999-12-31
Consolidated Stores,COM,210149100,924,77000,SH,,Other,0,0,77000,03,1999-12-31
Covad Com Group,COM,222814204,726,45000,SH,,Other,45000,0,0,02,1999-12-31
Covance Inc.,COM,222816100,661,75000,SH,,Other,0,0,75000,03,1999-12-31
Dan River CL A,COM,235774106,134,28235,SH,,Other,0,0,28235,01,1999-12-31
Delphi Finl Group,COM,247131105,713,21000,SH,,Other,0,0,21000,03,1999-12-31
Dentsply Int'l Inc,COM,249030107,1017,33000,SH,,Other,0,0,33000,03,1999-12-31
DEVRY Inc. Del,COM,251893103,9228,349054,SH,,Sole,349054,0,0,,1999-12-31
Digital Island,COM,25385N101,3240,66637,SH,,Other,66637,0,0,02,1999-12-31
Ditech Com Corp,COM,25500M103,391,4140,SH,,Other,4140,0,0,02,1999-12-31
DUKE - Weeks Rlty,COM,264411505,2971,132800,SH,,Other,0,0,132800,04,1999-12-31
E.Piphany Inc,COM,26881V100,1329,12396,SH,,Other,12396,0,0,02,1999-12-31
Echostar Com Corp,PFD,278762307,1093,2040,SH,,Other,0,0,2040,01,1999-12-31
Epoch Pharmaceuticals,COM,294273107,373,42045,SH,,Other,42045,0,0,02,1999-12-31
EQTY Office PPTRYS,COM,294741103,3675,133321,SH,,Other,0,0,133321,04,1999-12-31
Esco Electrocics TR,COM,269030201,187,11000,SH,,Sole,11000,0,0,,1999-12-31
Exodus Com,COM,302088109,2764,60000,SH,,Other,60000,0,0,02,1999-12-31
Family DLR Stores,COM,307000109,783,40000,SH,,Other,0,0,40000,03,1999-12-31
Foundry Networks,COM,35063R100,1040,9416,SH,,Other,9416,0,0,02,1999-12-31
Fed Rlty. Invt. TR,BEN,313747206,1300,65000,SH,,Other,0,0,65000,04,1999-12-31
Fusion Med Techn,COM,361128101,429,26900,SH,,Other,26900,0,0,02,1999-12-31
G & K SVCS CL A,COM,361268105,937,37400,SH,,Other,0,0,37400,03,1999-12-31
Gen Growth PPTYS,COM,370021107,1518,47800,SH,,Other,0,0,47800,04,1999-12-31
Genzyme Corp,COM,372917104,267,4500,SH,,Sole,4500,0,0,,1999-12-31
Cenzyme Corp Tissue COM 372917401 59,,,,11180,SH,,Sole,11180,0,0,,1999-12-31
Great Lakes Chem,COM,390568103,441,14000,SH,,Other,0,0,14000,03,1999-12-31
Gulf Canada Resource,COM,40218L305,4813,1000000,SH,,Sole,1000000,0,0,,1999-12-31
Haemonetics Corp MA,COM,405024100,399,19000,SH,,Other,0,0,19000,03,1999-12-31
Healtheon Corp,COM,422209106,518,35000,SH,,Other,35000,0,0,02,1999-12-31
IL Superconductor COM 452284102 80,,,,16784,SH,,Other,16784,0,0,02,1999-12-31
Inktomi Copr,COM,457277101,2365,20000,SH,,Other,20000,0,0,02,1999-12-31
Interact Comm,COM,45839Y107,337,28570,SH,,Other,28570,0,0,02,1999-12-31
Internet Pictures,COM,46059S101,164,10820,SH,,Other,10820,0,0,02,1999-12-31
Interwoven Inc.,COM,46114T102,6385,58056,SH,,Other,58056,0,0,02,1999-12-31
Kforce Com Inc.,COM,493732101,291,42000,SH,,Other,0,0,42000,03,1999-12-31
Kilroy Rlty Corp,COM,49427F108,2062,79500,SH,,Other,0,0,79500,04,1999-12-31
Kimco Rlty Corp,COM,49446R109,2276,55500,SH,,Other,0,0,55500,04,1999-12-31
Lab Corp Amer Hldgs,PFD,50540R201,403,2875,SH,,Other,0,0,2875,01,1999-12-31
Liberty PPTY TR,BEN,531172104,3190,123000,SH,,Other,0,0,123000,04,1999-12-31
Little Switz Inc COM 537528101 7,,,,16000,SH,,Sole,16000,0,0,,1999-12-31
MGIC Invt Corp Wis,COM,552848103,455,10000,SH,,Other,0,0,10000,03,1999-12-31
Microcel Telec CL B,COM,59501T304,550,15235,SH,,Other,0,0,15235,01,1999-12-31
Minerals Tech,COM,603158106,598,13000,SH,,Other,0,0,13000,03,1999-12-31
Modis Prof SVCS,COM,607830106,469,52800,SH,,Other,0,0,52800,03,1999-12-31
Morrison MGMT SPEC,COM,618459101,651,23100,SH,,Other,0,0,23100,03,1999-12-31
"Nabors Ind, Inc",COM,629568106,291,6999,SH,,Other,0,0,6999,01,1999-12-31
Nanophase Technolog,COM,630079101,3559,341000,SH,,Other,341000,0,0,02,1999-12-31
Netzero Inc,COM,64122R109,1342,257143,SH,,Other,257143,0,0,02,1999-12-31
Nextera Enterpr A,COM,65332E101,1781,372456,SH,,Sole,372456,0,0,,1999-12-31
Nova Corp,COM,669784100,726,26000,SH,,Other,0,0,26000,03,1999-12-31
Old Rep Intl Corp,COM,680223104,611,37000,SH,,Other,0,0,37000,03,1999-12-31
Onyx Software,COM,683402101,2368,79754,SH,,Other,79754,0,0,02,1999-12-31
Paxar Corp,COM,704227107,597,50000,SH,,Other,0,0,50000,03,1999-12-31
Phone.com Inc.,COM,71920Q100,1524,23403,SH,,Other,23403,0,0,02,1999-12-31
Pioneer Std Electr,COM,723877106,295,20000,SH,,Other,0,0,20000,03,1999-12-31
PMC Sierra,COM,69344F106,3198,18000,SH,,Other,18000,0,0,02,1999-12-31
Powertel Inc,COM,73936C109,312,4395,SH,,Other,0,0,4395,01,1999-12-31
Prologies BEN 743410102 4004 187900 SH,Other,,,03,,,,0,0,187900,04,1999-12-31
Prologies,BEN,743410102,341,16000,SH,,Sole,16000,0,0,,1999-12-31
Radiance Medical SY,COM,750241101,221,26000,SH,,Sole,26000,0,0,,1999-12-31
Reckson Assocs Rlty,COM,75621K106,1629,68600,SH,,Other,0,0,68600,04,1999-12-31
Redback Networks,COM,757209101,1780,10000,SH,,Other,10000,0,0,02,1999-12-31
Regal Beloit Corp,COM,758750103,295,18500,SH,,Other,0,0,18500,03,1999-12-31
Regency Rlty Corp,COM,758939102,228,9600,SH,,Sole,9600,0,0,,1999-12-31
Renal Care Group,COM,759930100,230,9400,SH,,Other,0,0,9400,03,1999-12-31
Republic SVCS,COM,760759100,1248,78000,SH,,Other,0,0,78000,03,1999-12-31
RSA Sec Inc,COM,749719100,889,12838,SH,,Other,12838,0,0,02,1999-12-31
Sec Cap Group B COM 81413P204 2060 121200 SH,Other,,,03,,,,0,0,121200,04,1999-12-31
Security Cap Group B,COM,81413P204,119,7000,SH,,Sole,7000,0,0,,1999-12-31
Sigma - Aldrich,COM,826552101,497,17000,SH,,Other,0,0,17000,03,1999-12-31
Skyepharma PLC,ADR,830808101,482,35696,SH,,Other,35696,0,0,02,1999-12-31
Speizman INDS Inc COM 847805108 77,,,,24000,SH,,Sole,24000,0,0,,1999-12-31
Spieker PPTYS Inc,COM,848497103,2155,45600,SH,,Other,0,0,45600,04,1999-12-31
Stamps Com Inc,COM,852857101,388,53015,SH,,Other,53015,0,0,02,1999-12-31
Sun Communities,COM,866674104,3110,93000,SH,,Other,0,0,93000,04,1999-12-31
Sungard Data Sys,COM,867363103,1085,35000,SH,,Other,0,0,35000,03,1999-12-31
Sybron Int'l Group,COM,87114F106,693,35000,SH,,Other,0,0,35000,03,1999-12-31
Thermo Fibergen Inc,COM,88355U109,236,19300,SH,,Sole,19300,0,0,,1999-12-31
Thermo Fibergen Inc RTS 88355U107 12,,,,19300,SH,,Sole,19300,0,0,,1999-12-31
Urban Shopp CTRS,COM,917060105,1674,49700,SH,,Other,0,0,49700,04,1999-12-31
US Internetworking,COM,917311805,383,18756,SH,,Sole,18756,0,0,,1999-12-31
VA Linux Sys,COM,91819B105,2255,52442,SH,,Other,52442,0,0,02,1999-12-31
Versus Tech Inc COM 952313108 21,,,,60000,SH,,Sole,60000,0,0,,1999-12-31
Vigennette Corp,COM,926734104,1070,20571,SH,,Other,20571,0,0,02,1999-12-31
Vulcan Materials,COM,929160109,327,7656,SH,,Sole,7656,0,0,,1999-12-31
"Active Software, Inc.",COM,00504E100,1373,17679,SH,,Other,17679,0,0,02,1999-06-30
Axicom Corp,COM,005125109,436,16000,SH,,Other,0,0,16000,03,1999-06-30
Adelphi Com CL A,COM,006848105,234,5000,SH,,Other,0,0,5000,03,1999-06-30
Agile Software Corp,COM,00846X105,476,6731,SH,,Other,6731,0,0,02,1999-06-30
AMB PPTY Corp,COM,00163T109,2110,92500,SH,,Other,0,0,92500,04,1999-06-30
Applied Micro Cir,COM,03822W109,2963,30000,SH,,Other,30000,0,0,02,1999-06-30
Aptar Group Inc,COM,038336103,886,32800,SH,,Other,0,0,32800,03,1999-06-30
Archstone CMNTYS BEN 039581103 3392 161061 SH Sole,,,,,,,Other,15061,0,146000,04,1999-06-30
Argosy Gaming Co.,COM,040228108,173,11950,SH,,Other,0,0,11950,01,1999-06-30
"Ariba, Inc",COM,04033V104,7802,79572,SH,,Other,79572,0,0,02,1999-06-30
Arrow Electronic,COM,042735100,558,18000,SH,,Other,0,0,18000,03,1999-06-30
Avalonbay CMTYS,COM,053484101,3252,77900,SH,,Other,0,0,77900,04,1999-06-30
Avanex Corp,COM,05348W109,1288,13483,SH,,Other,13483,0,0,02,1999-06-30
BEA Sys Inc.,COM,073325102,1483,30000,SH,,Other,30000,0,0,02,1999-06-30
Bell & Howell,COM,077852101,388,16000,SH,,Other,0,0,16000,03,1999-06-30
Block H & R,COM,093671105,502,15500,SH,,Other,0,0,15500,03,1999-06-30
Brady Corp CL A,COM,104674106,478,14700,SH,,Other,0,0,14700,03,1999-06-30
Broadbase Software,COM,11130R100,609,19872,SH,,Other,19872,0,0,02,1999-06-30
Broadcom Software,COM,111320107,2134,9746,SH,,Other,9746,0,0,02,1999-06-30
Brocade Comm Sys,COM,111621108,7767,42332,SH,,Other,42332,0,0,02,1999-06-30
Boston PPTYS Inc.,COM,101121101,2310,59800,SH,,Other,0,0,59800,04,1999-06-30
C-Cube Microsys,COM,12501N108,361,18377,SH,,Other,18377,0,0,02,1999-06-30
CacheFlow Inc.,COM,126946102,1385,22500,SH,,Other,22500,0,0,02,1999-06-30
Caliper Tech,COM,130876105,790,17165,SH,,Other,17165,0,0,02,1999-06-30
Cambrex Corp,COM,132011107,990,22000,SH,,Other,0,0,22000,02,1999-06-30
Carramerica Rlty.,COM,144418100,199,7500,SH,,Sole,7500,0,0,,1999-06-30
Casella Waste Sys,COM,147448104,645,60000,SH,,Other,0,0,60000,03,1999-06-30
Caseys Gen Stores,COM,147528103,830,80000,SH,,Other,0,0,80000,03,1999-06-30
Checkfree Hldgs,COM,162816102,2039,39548,SH,,Other,39548,0,0,02,1999-06-30
Checkpoint Systems COM 162825103 75,,,,10000,SH,,Sole,10000,0,0,,1999-06-30
Ches Energy,COM,165167107,546,70500,SH,,Other,0,0,70500,01,1999-06-30
Clearnet Com CL A,COM,184902104,273,9820,SH,,Other,0,0,9820,01,1999-06-30
CNET Networks Inc.,COM,12613R104,200,8154,SH,,Other,8154,0,0,02,1999-06-30
Commerce One,COM,200693109,1816,40000,SH,,Other,40000,0,0,02,1999-06-30
Completel Europe NV,COM,N21590109,154,12800,SH,,Other,0,0,12800,03,1999-06-30
Consolidated Stores,COM,210149100,924,77000,SH,,Other,0,0,77000,03,1999-06-30
Covad Com Group,COM,222814204,726,45000,SH,,Other,45000,0,0,02,1999-06-30
Covance Inc.,COM,222816100,661,75000,SH,,Other,0,0,75000,03,1999-06-30
Dan River CL A,COM,235774106,134,28235,SH,,Other,0,0,28235,01,1999-06-30
Delphi Finl Group,COM,247131105,713,21000,SH,,Other,0,0,21000,03,1999-06-30
Dentsply Int'l Inc,COM,249030107,1017,33000,SH,,Other,0,0,33000,03,1999-06-30
DEVRY Inc. Del,COM,251893103,9228,349054,SH,,Sole,349054,0,0,,1999-06-30
Digital Island,COM,25385N101,3240,66637,SH,,Other,66637,0,0,02,1999-06-30
Ditech Com Corp,COM,25500M103,391,4140,SH,,Other,4140,0,0,02,1999-06-30
DUKE - Weeks Rlty,COM,264411505,2971,132800,SH,,Other,0,0,132800,04,1999-06-30
E.Piphany Inc,COM,26881V100,1329,12396,SH,,Other,12396,0,0,02,1999-06-30
Echostar Com Corp,PFD,278762307,1093,2040,SH,,Other,0,0,2040,01,1999-06-30
Epoch Pharmaceuticals,COM,294273107,373,42045,SH,,Other,42045,0,0,02,1999-06-30
EQTY Office PPTRYS,COM,294741103,3675,133321,SH,,Other,0,0,133321,04,1999-06-30
Esco Electrocics TR,COM,269030201,187,11000,SH,,Sole,11000,0,0,,1999-06-30
Exodus Com,COM,302088109,2764,60000,SH,,Other,60000,0,0,02,1999-06-30
Family DLR Stores,COM,307000109,783,40000,SH,,Other,0,0,40000,03,1999-06-30
Foundry Networks,COM,35063R100,1040,9416,SH,,Other,9416,0,0,02,1999-06-30
Fed Rlty. Invt. TR,BEN,313747206,1300,65000,SH,,Other,0,0,65000,04,1999-06-30
Fusion Med Techn,COM,361128101,429,26900,SH,,Other,26900,0,0,02,1999-06-30
G & K SVCS CL A,COM,361268105,937,37400,SH,,Other,0,0,37400,03,1999-06-30
Gen Growth PPTYS,COM,370021107,1518,47800,SH,,Other,0,0,47800,04,1999-06-30
Genzyme Corp,COM,372917104,267,4500,SH,,Sole,4500,0,0,,1999-06-30
Cenzyme Corp Tissue COM 372917401 59,,,,11180,SH,,Sole,11180,0,0,,1999-06-30
Great Lakes Chem,COM,390568103,441,14000,SH,,Other,0,0,14000,03,1999-06-30
Gulf Canada Resource,COM,40218L305,4813,1000000,SH,,Sole,1000000,0,0,,1999-06-30
Haemonetics Corp MA,COM,405024100,399,19000,SH,,Other,0,0,19000,03,1999-06-30
Healtheon Corp,COM,422209106,518,35000,SH,,Other,35000,0,0,02,1999-06-30
IL Superconductor COM 452284102 80,,,,16784,SH,,Other,16784,0,0,02,1999-06-30
Inktomi Copr,COM,457277101,2365,20000,SH,,Other,20000,0,0,02,1999-06-30
Interact Comm,COM,45839Y107,337,28570,SH,,Other,28570,0,0,02,1999-06-30
Internet Pictures,COM,46059S101,164,10820,SH,,Other,10820,0,0,02,1999-06-30
Interwoven Inc.,COM,46114T102,6385,58056,SH,,Other,58056,0,0,02,1999-06-30
Kforce Com Inc.,COM,493732101,291,42000,SH,,Other,0,0,42000,03,1999-06-30
Kilroy Rlty Corp,COM,49427F108,2062,79500,SH,,Other,0,0,79500,04,1999-06-30
Kimco Rlty Corp,COM,49446R109,2276,55500,SH,,Other,0,0,55500,04,1999-06-30
Lab Corp Amer Hldgs,PFD,50540R201,403,2875,SH,,Other,0,0,2875,01,1999-06-30
Liberty PPTY TR,BEN,531172104,3190,123000,SH,,Other,0,0,123000,04,1999-06-30
Little Switz Inc COM 537528101 7,,,,16000,SH,,Sole,16000,0,0,,1999-06-30
MGIC Invt Corp Wis,COM,552848103,455,10000,SH,,Other,0,0,10000,03,1999-06-30
Microcel Telec CL B,COM,59501T304,550,15235,SH,,Other,0,0,15235,01,1999-06-30
Minerals Tech,COM,603158106,598,13000,SH,,Other,0,0,13000,03,1999-06-30
Modis Prof SVCS,COM,607830106,469,52800,SH,,Other,0,0,52800,03,1999-06-30
Morrison MGMT SPEC,COM,618459101,651,23100,SH,,Other,0,0,23100,03,1999-06-30
"Nabors Ind, Inc",COM,629568106,291,6999,SH,,Other,0,0,6999,01,1999-06-30
Nanophase Technolog,COM,630079101,3559,341000,SH,,Other,341000,0,0,02,1999-06-30
Netzero Inc,COM,64122R109,1342,257143,SH,,Other,257143,0,0,02,1999-06-30
Nextera Enterpr A,COM,65332E101,1781,372456,SH,,Sole,372456,0,0,,1999-06-30
Nova Corp,COM,669784100,726,26000,SH,,Other,0,0,26000,03,1999-06-30
Old Rep Intl Corp,COM,680223104,611,37000,SH,,Other,0,0,37000,03,1999-06-30
Onyx Software,COM,683402101,2368,79754,SH,,Other,79754,0,0,02,1999-06-30
Paxar Corp,COM,704227107,597,50000,SH,,Other,0,0,50000,03,1999-06-30
Phone.com Inc.,COM,71920Q100,1524,23403,SH,,Other,23403,0,0,02,1999-06-30
Pioneer Std Electr,COM,723877106,295,20000,SH,,Other,0,0,20000,03,1999-06-30
PMC Sierra,COM,69344F106,3198,18000,SH,,Other,18000,0,0,02,1999-06-30
Powertel Inc,COM,73936C109,312,4395,SH,,Other,0,0,4395,01,1999-06-30
Prologies BEN 743410102 4004 187900 SH,Other,,,03,,,,0,0,187900,04,1999-06-30
Prologies,BEN,743410102,341,16000,SH,,Sole,16000,0,0,,1999-06-30
Radiance Medical SY,COM,750241101,221,26000,SH,,Sole,26000,0,0,,1999-06-30
Reckson Assocs Rlty,COM,75621K106,1629,68600,SH,,Other,0,0,68600,04,1999-06-30
Redback Networks,COM,757209101,1780,10000,SH,,Other,10000,0,0,02,1999-06-30
Regal Beloit Corp,COM,758750103,295,18500,SH,,Other,0,0,18500,03,1999-06-30
Regency Rlty Corp,COM,758939102,228,9600,SH,,Sole,9600,0,0,,1999-06-30
Renal Care Group,COM,759930100,230,9400,SH,,Other,0,0,9400,03,1999-06-30
Republic SVCS,COM,760759100,1248,78000,SH,,Other,0,0,78000,03,1999-06-30
RSA Sec Inc,COM,749719100,889,12838,SH,,Other,12838,0,0,02,1999-06-30
Sec Cap Group B COM 81413P204 2060 121200 SH,Other,,,03,,,,0,0,121200,04,1999-06-30
Security Cap Group B,COM,81413P204,119,7000,SH,,Sole,7000,0,0,,1999-06-30
Sigma - Aldrich,COM,826552101,497,17000,SH,,Other,0,0,17000,03,1999-06-30
Skyepharma PLC,ADR,830808101,482,35696,SH,,Other,35696,0,0,02,1999-06-30
Speizman INDS Inc COM 847805108 77,,,,24000,SH,,Sole,24000,0,0,,1999-06-30
Spieker PPTYS Inc,COM,848497103,2155,45600,SH,,Other,0,0,45600,04,1999-06-30
Stamps Com Inc,COM,852857101,388,53015,SH,,Other,53015,0,0,02,1999-06-30
Sun Communities,COM,866674104,3110,93000,SH,,Other,0,0,93000,04,1999-06-30
Sungard Data Sys,COM,867363103,1085,35000,SH,,Other,0,0,35000,03,1999-06-30
Sybron Int'l Group,COM,87114F106,693,35000,SH,,Other,0,0,35000,03,1999-06-30
Thermo Fibergen Inc,COM,88355U109,236,19300,SH,,Sole,19300,0,0,,1999-06-30
Thermo Fibergen Inc RTS 88355U107 12,,,,19300,SH,,Sole,19300,0,0,,1999-06-30
